what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308428053536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428053650
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428053668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428059467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428077626
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428077701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308428137875
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308428138263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428161608
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428179944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308428190472
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428191460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308428205219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428599300
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428623607
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428623757
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428627928
activated,view,org.python.pydev,2.1.0.2011052613,"org.python.pydev.navigator.view",1308428637834
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428640423
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308428648511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308428664441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428665472
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428666889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308428667183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308428692016
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308428692803
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428704467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428798254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308428850077
